id|authorDisplayName|authorProfileImageUrl|authorChannelUrl|authorChannelId|text|videoId|viewerRating|likeCount|publishedAt|updatedAt
UgyHw0W1OdvYzN9X3Z54AaABAg|"박프리"|https://yt3.ggpht.com/a/AATXAJxqdeeEZkfu4QXcYDDRAy2aQ7Cw5SLTuOFdig=s48-c-k-c0xffffffff-no-rj-mo|http://www.youtube.com/channel/UCwgAe1s5ENsy32PmfB4CW0g|UCwgAe1s5ENsy32PmfB4CW0g|"정답 : 1. 4) 통일전망대  2. 3) 양세종  3. 4) 빙어축제 세종알리미 좋아요 & 알림 설정 & 구독했어요. 앞으로 세종알리미 채널을 통해서 세종시의 다양한 매력들을 많은 타지분들이 알게되셨으면 좋겠습니다 세종알리미 채널이 그몫을 톡톡히 해주실거라고 믿어요 기대하겠습니다  화이팅"|ZZflqP0cjAg|none|0|2019-12-22T14:13:18Z|2019-12-22T14:13:38Z
UgyhwY_zgPu2e2TnC2R4AaABAg|"ON CE"|https://yt3.ggpht.com/a/AATXAJxS6QKzYxUwvUrDd2bStaSZteh_lUTGBSQCHg=s48-c-k-c0xffffffff-no-rj-mo|http://www.youtube.com/channel/UC6iSRNkYdW5eUFryDywvb3Q|UC6iSRNkYdW5eUFryDywvb3Q|"정답 1. 4통일전망대  2번 3양세종. 3번 4빙어축제 세종 알리미 채널 올 한해 감사했습니다. 내년에도 잘 부탁드려요. 화이팅."|ZZflqP0cjAg|none|0|2019-12-22T14:12:22Z|2019-12-22T14:12:22Z
UgyLieV0ka0LDPK3CWV4AaABAg|"sun choi"|https://yt3.ggpht.com/a/AATXAJzIxZ5RpNGXgLdjGXxOkiZUGnNypuy6O3kpfg=s48-c-k-c0xffffffff-no-rj-mo|http://www.youtube.com/channel/UCIdcMW4n_EgKUOLVGf3IQGA|UCIdcMW4n_EgKUOLVGf3IQGA|"정답: 1.  4번 통일전망대    2.  3번 양세종     3.  4번 빙어축제 2019년 한해동안 세종시를 알리느라 고생정말 많이 하셨어요  덕분에 세종시가 많이 알려진것같아 칭찬해드리고 싶어요  2020년에도 세종시의 좋은 모습을 많이 홍보해주시고 이웃분들께 알려주시길 바래요 항상 고생하시는 세종알리미 직원분들을 응원해요"|ZZflqP0cjAg|none|0|2019-12-22T14:08:24Z|2019-12-22T14:08:24Z
UgxxYRzn8cg2eazLbQB4AaABAg|"다인"|https://yt3.ggpht.com/a/AATXAJwgSJa90n-7bS9jfDsC1poFRge5gLBN0JcKUaB-=s48-c-k-c0xffffffff-no-rj-mo|http://www.youtube.com/channel/UCn-FGTpuoYmb_na8EpmO6PQ|UCn-FGTpuoYmb_na8EpmO6PQ|"정답 1. 4통일전망대  2번 3양세종. 3번 4빙어축제 2020년도 알찬 정보와 소식 부탁드릴게요! 응원합니다!"|ZZflqP0cjAg|none|0|2019-12-22T14:07:20Z|2019-12-22T14:07:20Z
UgxoJORwkAWTz4IPvEp4AaABAg|"한한울"|https://yt3.ggpht.com/a/AATXAJzqXRHMKvuu_IMOjB5iUmThc-PsZ78LBcQ5JQ=s48-c-k-c0xffffffff-no-rj-mo|http://www.youtube.com/channel/UCLyve-NL8LoY7h9uFsuvEbQ|UCLyve-NL8LoY7h9uFsuvEbQ|"1. 4통일전망대  2. 3양세종  3. 4 빙어축제   #세종특별자치시 #세종알리미 #구독 응원합니다"|ZZflqP0cjAg|none|0|2019-12-22T14:06:51Z|2019-12-22T14:07:23Z
UgxpBX_aD7Hq5xPWPrJ4AaABAg|"soo kim"|https://yt3.ggpht.com/a/AATXAJwpxzSWt1l4D9Ckpz77zGhGnFTI14rt597ajQ=s48-c-k-c0xffffffff-no-rj-mo|http://www.youtube.com/channel/UCjcByHhs9mCnVbYJN6dluIg|UCjcByHhs9mCnVbYJN6dluIg|"정답: 1. 4) 통일전망대  2. 3) 양세종  3. 4) 빙어축제 구독과 좋아요 알림설정 완료 앞으로도 좋은소식 많이 전해주는 세종알리미가 되어주세요 세종알리미 화이팅"|ZZflqP0cjAg|none|0|2019-12-22T14:06:31Z|2019-12-22T14:06:31Z
UgzhdFZV9NCAPqSDgSJ4AaABAg|"유은경"|https://yt3.ggpht.com/a/AATXAJz_jz69-ESDDSHfV1nYO6o2YzO1llt79JSPfHS5=s48-c-k-c0xffffffff-no-rj-mo|http://www.youtube.com/channel/UCofQ938kXEJbSJAGCySf7Jg|UCofQ938kXEJbSJAGCySf7Jg|"정답은 1[4.통일 전망대] 2[3. 양세종] 3[4. 빙어축제] 입니다~^^ 세종시 유튜브를 통해 다양하고 즐거운 소식 많이 전해지길 바랍니다 ~ 관광지 소개도 부탁드려요~^^"|ZZflqP0cjAg|none|0|2019-12-22T14:05:23Z|2019-12-22T14:06:15Z
Ugx6Cdy5OgrtJj43JuV4AaABAg|"sweetvery hot"|https://yt3.ggpht.com/a/AATXAJydB3XdGINrL9-_6oX0oAqem_Bbyxa6YBnYGQ=s48-c-k-c0xffffffff-no-rj-mo|http://www.youtube.com/channel/UCdV3sUkuQ6iqUOfvOMri9hw|UCdV3sUkuQ6iqUOfvOMri9hw|"정답 : 1. 4번 통일전망대 , 2. 3번 양세종 , 3. 4번 빙어축제  다양한소식을 전해주는 세종알리미 채널 구독과 좋아요 완료   제 기억속의 좋은 모습을 간직한 세종알리미의 유튜브 모습 2020년에도 그런모습이기를 기대합니다 앞으로도 잘부탁드려요 응원합니다"|ZZflqP0cjAg|none|0|2019-12-22T14:04:55Z|2019-12-22T14:04:55Z
UgxYjlUtZIU30-rGOKh4AaABAg|"홍연화"|https://yt3.ggpht.com/a/AATXAJzQb26qRR54yfW3iqvB9SspJZotF4QTFsIdxA=s48-c-k-c0xffffffff-no-rj-mo|http://www.youtube.com/channel/UCHXN_OYmMs8kxVuW-5axZ6A|UCHXN_OYmMs8kxVuW-5axZ6A|"정답 1. 4통일전망대  2번 3양세종. 3번 4빙어축제  2020년도 세종알리미 채널과 함께!  응원합니다!"|ZZflqP0cjAg|none|0|2019-12-22T14:04:04Z|2019-12-22T14:04:04Z
UgzN6RF-uXKq_FbHBkR4AaABAg|"몽몽강아지"|https://yt3.ggpht.com/a/AATXAJzxhzAN7Yb4_CMUCe-MfyNvJ7cCNNW9jux8QQ=s48-c-k-c0xffffffff-no-rj-mo|http://www.youtube.com/channel/UCPQbUxVpNtU5c_n_bXnhhJg|UCPQbUxVpNtU5c_n_bXnhhJg|"정답 : 1. 4통일전망대  2. 3양세종  3. 4빙어축제 앞으로도 많은 관심과 사랑속에서 성장해나가는 세종알리미의 모습을 보고싶습니다 세종알리미 유튜브채널 기대합니다 응원할께요"|ZZflqP0cjAg|none|0|2019-12-22T14:03:26Z|2019-12-22T14:03:26Z
