id|authorDisplayName|authorProfileImageUrl|authorChannelUrl|authorChannelId|text|videoId|viewerRating|likeCount|publishedAt|updatedAt
UgxeBf37b6W5i8DPeK94AaABAg|"정진영"|https://yt3.ggpht.com/a/AATXAJwCfYZWslS1f0y0rb_f8P94Lw6PlEOsBj6wWA=s48-c-k-c0xffffffff-no-rj-mo|http://www.youtube.com/channel/UCtcXrmL7e3rDL-FGVPL527Q|UCtcXrmL7e3rDL-FGVPL527Q|"노하우 꿀팁 감사합니다~^^"|EPYG99FmPRc|none|1|2020-07-18T20:28:06Z|2020-07-18T20:28:06Z
UgygIGGH8CCJDxDlOKl4AaABAg|"storyn 9"|https://yt3.ggpht.com/a/AATXAJyaE2L9iYsluRsNnfqtvpDuYNppUt5LpwwpVH0=s48-c-k-c0xffffffff-no-rj-mo|http://www.youtube.com/channel/UC-oyK-osx7xKlp6xj6apGjg|UC-oyK-osx7xKlp6xj6apGjg|"취준생들에게는 너무 유용한 정보에요~~"|EPYG99FmPRc|none|1|2020-07-18T13:38:45Z|2020-07-18T13:38:45Z
UgyEXvJlW-XFs3QKGA54AaABAg|"edisun035"|https://yt3.ggpht.com/a/AATXAJzAKt_DMx06qVTW2ZTe4tve7FId9a4OVvmYpw=s48-c-k-c0xffffffff-no-rj-mo|http://www.youtube.com/channel/UC5l2lUXvF2SZr2PNXjsFM9g|UC5l2lUXvF2SZr2PNXjsFM9g|"코로나때문에 취준생들 더 어려워졌는데... 이 영상으로 도움받는 분들 많길 바래요!"|EPYG99FmPRc|none|1|2020-07-18T13:20:17Z|2020-07-18T13:20:17Z
UgxE1HHnspxf3ZOwlSR4AaABAg|"이진수"|https://yt3.ggpht.com/a/AATXAJxtBAtenPHcp2eXMqtqxPHoj2y6gZQUVOuHisN5=s48-c-k-c0xffffffff-no-rj-mo|http://www.youtube.com/channel/UCT63Sq4eQkHrlgyNs6MzjqA|UCT63Sq4eQkHrlgyNs6MzjqA|"노하우 감사합니다ㅎㅎ"|EPYG99FmPRc|none|1|2020-07-17T20:07:34Z|2020-07-17T20:07:34Z
UgxrrHaqeP9AAac8eQl4AaABAg|"박서준"|https://yt3.ggpht.com/a/AATXAJxDDW_OBliqQwVkjdeVaicaRVVI96DdiSTsuUr3Rg=s48-c-k-c0xffffffff-no-rj-mo|http://www.youtube.com/channel/UC37QDFQojTqIs7zjR6JwFrA|UC37QDFQojTqIs7zjR6JwFrA|"이번에도 많은걸 알아갑니다... 정보 너무 감사합니다."|EPYG99FmPRc|none|1|2020-07-17T02:00:26Z|2020-07-17T02:00:26Z
UgxsJfmDAjF6Bl68F2V4AaABAg|"지소영"|https://yt3.ggpht.com/a/AATXAJxHogu94qcrih38wnVOxBQKfJSYn0O0pgMPRnnu=s48-c-k-c0xffffffff-no-rj-mo|http://www.youtube.com/channel/UC4LphRtBclnJeuheYmVS-zQ|UC4LphRtBclnJeuheYmVS-zQ|"이 영상이 도움이 되서 합격하는 분들이 있었으면 좋겠어요 ㅋㅋ 저도 공공기관 입사하는게 한때 목표였는데 그때 열정넘치던 추억도 떠올려지네요"|EPYG99FmPRc|none|1|2020-07-17T01:54:06Z|2020-07-17T01:54:06Z
UgxAjz5_JTEm6woHMhB4AaABAg|"HJ SONG"|https://yt3.ggpht.com/a/AATXAJyVlxOwwLG6OtO6uOEV_x_t8fxvZaUwiPOB9MPv=s48-c-k-c0xffffffff-no-rj-mo|http://www.youtube.com/channel/UCOKmrqyNVRreAFSbcQd14nQ|UCOKmrqyNVRreAFSbcQd14nQ|"남자 전임님에게 거의 압박면적인걸요ㅎㅎ 유용한 정보 공유해주셔서 감사합니다."|EPYG99FmPRc|none|1|2020-07-17T01:41:46Z|2020-07-17T01:41:46Z
UgyQNWIZynENhCly3zV4AaABAg|"윤향미윤향미"|https://yt3.ggpht.com/a/AATXAJxF46AeC--6KtOTh8r1Cv9goULcKq8XrfehOQ=s48-c-k-c0xffffffff-no-rj-mo|http://www.youtube.com/channel/UCQ-sfnskUoVC954azSAyUSg|UCQ-sfnskUoVC954azSAyUSg|"실제 재직자 분들이 알려주시는 노하우리서 공공기관에 준비하시는 많은 분들에게 큰 도움이 될것 같아 너무 좋네요❣ 앞으로도 다양하고 알찬 콘텐츠들로 많은 이들에게 따스한 감동을 전해주며 보다 더 성장하실 한국산엄기술평가관리원을 곁에서 항상 응원해요 ٩(๑•̀o•́๑)و"|EPYG99FmPRc|none|1|2020-07-14T01:54:03Z|2020-07-14T01:54:03Z
UgyrUfS8YlBCumswtIV4AaABAg|"강소영"|https://yt3.ggpht.com/a/AATXAJzzdECfKFELC8yRTnjxlh9qZzD2DiTX7DUNrg=s48-c-k-c0xffffffff-no-rj-mo|http://www.youtube.com/channel/UCgsx3k91awLhzK78WepQAZQ|UCgsx3k91awLhzK78WepQAZQ|"입사 노하우 좋은 정보네요~!!"|EPYG99FmPRc|none|2|2020-07-13T14:24:30Z|2020-07-13T14:24:30Z
UgzXZ-CAxBX4UX4oDXp4AaABAg|"김기석"|https://yt3.ggpht.com/a/AATXAJzXuQOIeM_CPzk044VJtDFnjAtOkTMnNWNEBylvXw=s48-c-k-c0xffffffff-no-rj-mo|http://www.youtube.com/channel/UC9_faZhm4FSxMELPiH66OOw|UC9_faZhm4FSxMELPiH66OOw|"재직자가 알려주는 입사 노하우 정보 정말로 그 어떤 정보보다 가치있는 정보입니다."|EPYG99FmPRc|none|1|2020-07-13T09:29:13Z|2020-07-13T09:29:13Z
UgznYvvBn1toZ3C14x14AaABAg|"강혁준"|https://yt3.ggpht.com/a/AATXAJyYuvSWnpO6gLRbGP1JEqOoMRctf1uHqbvOFMvA=s48-c-k-c0xffffffff-no-rj-mo|http://www.youtube.com/channel/UCn_tVexhgwsQ7rvW6ZTm9Ew|UCn_tVexhgwsQ7rvW6ZTm9Ew|"재직자가 직접 알려주니깐 더욱더 피부에 와닿은 꿀팁인 것 같아요^^"|EPYG99FmPRc|none|1|2020-07-13T05:09:03Z|2020-07-13T05:09:03Z
UgwYkarybDlT2WC14rd4AaABAg|"대구남자 찬 [Chan guest house]"|https://yt3.ggpht.com/a/AATXAJxYZXn1rNT3wwJZxksoAe3eymOUamKV4GMCYBXE=s48-c-k-c0xffffffff-no-rj-mo|http://www.youtube.com/channel/UCIaSuhHgw3YknBf_68ESJWQ|UCIaSuhHgw3YknBf_68ESJWQ|"혹시 경영전공에 재무관리분야도 출제예정인가요?"|EPYG99FmPRc|none|1|2020-04-19T07:43:07Z|2020-04-19T07:43:07Z
UgzUwFsgmzULx-1zH914AaABAg|"Simba Kim"|https://yt3.ggpht.com/a/AATXAJzaX834ss-RP-S-LtMUHO7m1DnMaA6cmAmCAw=s48-c-k-c0xffffffff-no-rj-mo|http://www.youtube.com/channel/UCkQ3X9JtUrF9XL8h7oVHVnQ|UCkQ3X9JtUrF9XL8h7oVHVnQ|"저는 이번에 정보화 지원자입니다 ! 전공공부가 전산학이라고 나와있는데 다른 분야처럼 세부 과목을 혹시 알수 있을까요? 보안쪽도 봐야되는지 궁금합니다 ㅜㅜ"|EPYG99FmPRc|none|1|2020-04-10T03:53:44Z|2020-04-10T03:53:44Z
