id|subscriptionChannelId|publishedAt|title|description|thumbnailUrl|totalItemCount|newItemCount
UC7bQXKhLtAfCTWWWHUzOoUQ|UCLrRutm_EiL2294pFrTEN4w|2019-07-02T07:16:26.588000Z|"마케팅웨이 최준호"|"마케팅웨이 카페 - https:cafe.naver.comjung8383  마케팅웨이 홈페이지 - https:marketing-way.co.kr  1:1 컨설팅, 문의 - http:pf.kakao.com_VwtMC  비싼 강의 들을 필요없이 동영상 강좌만으로도 온라인 마케팅을 배울 수 있다! 강의 시장을 깨부수고자 '마케팅웨이'가 앞장섭니다."|https://yt3.ggpht.com/-g2-U209Xh1I/AAAAAAAAAAI/AAAAAAAAAAA/QcCb0SGs63Q/s88-c-k-no-mo-rj-c0xffffff/photo.jpg|264|0
UC7bQXKhLtAfCTWWWHUzOoUQ|UC7-PyZbi_QIthI3WFtopzLw|2019-01-29T04:39:07.311000Z|"대한민국 경찰청"|"Official Korean National Police Agency Youtube channel"|https://yt3.ggpht.com/-KYqL7RyAUOY/AAAAAAAAAAI/AAAAAAAAAAA/Y7k2ZsqsjtA/s88-c-k-no-mo-rj-c0xffffff/photo.jpg|1548|0
UC7bQXKhLtAfCTWWWHUzOoUQ|UCpCtv8fw6egexjhOJpN1IZw|2020-03-27T04:44:06.841000Z|"광주광역시 빛튜브"|"광주광역시 공식 유튜브 채널입니다! 광주행복1번가를 꿈꾸는 시민 여러분과 시청 사람들을 위한 공간입니다 항상 많은 참여 부탁드립니다! 구독과 좋아요는~~~ 필수입니다^^  하나. 광주를 왔는데 갈 곳이 없다고요??!!           광주시 유튜브 채널과 함께라면 광주 핫플, 광주 관광명소, 광주 행사 및 광주 축제, 광주의 숨은 여행지까지~            단 칼에 접수할 수 있습니다.   두울.광주시 정책... 단어만 들어도 벌써 졸린다구요?!          광주시 유튜브 채널과 함께라면,  알기 쉽고~ 듣기 쉽고~ 귀에 쏙쏙 들어오는 영상으로 설명해 드립니다.   세엣. 광주 시청 사람들의 리얼한 모습, 소통하는 광주시청을 쏙쏙들이 알고 싶다면~?           광주시 유튜브 채널과 함께라면,  문제 해결!            광주 행복 1번가에서는 매주 '북터뷰', '택시', '내방로 사람들'을 통해 시청의 이모저모를 확인할 수 있습니다."|https://yt3.ggpht.com/-JszMupAocoo/AAAAAAAAAAI/AAAAAAAAAAA/0-SEXfOGQ1E/s88-c-k-no-mo-rj-c0xffffff/photo.jpg|153|0
UC7bQXKhLtAfCTWWWHUzOoUQ|UCkd-31Au9BxGdVbv-2W0rAA|2017-12-04T05:25:29Z|"TV정성"|""|https://yt3.ggpht.com/-gILxK_z6TIc/AAAAAAAAAAI/AAAAAAAAAAA/ev7h5jFJdhQ/s88-c-k-no-mo-rj-c0xffffff/photo.jpg|2|0
UC7bQXKhLtAfCTWWWHUzOoUQ|UC4PEb_vK4P-aazUMrGZsDlQ|2019-07-05T01:37:13.164000Z|"여행하는디자이너 트래블러"|"여행하는 디자이너 트래블러 입니다. 블로그 꾸미기, 포토샵 활용 방법,SNS  디자인 쉽게 만들기 영상을 만들어가고 있습니다."|https://yt3.ggpht.com/-S7qAHlyldOg/AAAAAAAAAAI/AAAAAAAAAAA/m8PBdRFddaw/s88-c-k-no-mo-rj-c0xffffff/photo.jpg|13|0
